Date,Close/Last,Volume,Open,High,Low
12/19/2023,0.5843,N/A,0.6131,0.5844,0.5691
12/18/2023,0.6107,N/A,0.576,0.6164,0.5971
12/17/2023,0.5752,N/A,0.6107,0.5862,0.5628
12/16/2023,0.6103,N/A,0.6142,0.618,0.6024
12/15/2023,0.6128,N/A,0.6394,0.6158,0.5874
12/14/2023,0.6379,N/A,0.649,0.6537,0.6349
12/13/2023,0.6516,N/A,0.5621,0.6789,0.6488
12/12/2023,0.5624,N/A,0.5552,0.5868,0.5523
12/11/2023,0.5575,N/A,0.56,0.5653,0.5505
12/10/2023,0.5571,N/A,0.5986,0.5978,0.525
12/09/2023,0.5984,N/A,0.5967,0.6051,0.5777
12/08/2023,0.5925,N/A,0.4648,0.5966,0.5441
12/07/2023,0.465,N/A,0.4497,0.4674,0.4516
12/06/2023,0.4486,N/A,0.4244,0.454,0.4408
12/05/2023,0.3978,N/A,0.4039,0.4106,0.3971
12/04/2023,0.4036,N/A,0.4061,0.4106,0.4021
12/03/2023,0.407,N/A,0.396,0.4074,0.3943
12/02/2023,0.3962,N/A,0.3833,0.3963,0.3826
12/01/2023,0.3851,N/A,0.3798,0.3859,0.3826
11/30/2023,0.3797,N/A,0.3796,0.3808,0.3736
11/29/2023,0.38,N/A,0.3845,0.3825,0.3783
11/28/2023,0.384,N/A,0.3744,0.3871,0.3835
11/27/2023,0.3744,N/A,0.3859,0.3803,0.3743
11/26/2023,0.3852,N/A,0.3924,0.3919,0.381
11/25/2023,0.3919,N/A,0.3903,0.3953,0.3899
11/24/2023,0.39,N/A,0.3948,0.3918,0.3846
11/23/2023,0.3943,N/A,0.38,0.3975,0.3858
11/22/2023,0.3822,N/A,0.3703,0.3834,0.378
11/21/2023,0.3711,N/A,0.3848,0.3723,0.3558
11/20/2023,0.3845,N/A,0.3817,0.3883,0.379
11/19/2023,0.3838,N/A,0.3771,0.385,0.3804
11/18/2023,0.3734,N/A,0.3592,0.379,0.369
11/17/2023,0.36,N/A,0.3732,0.3672,0.3591
11/16/2023,0.3727,N/A,0.3833,0.3781,0.3693
11/15/2023,0.3834,N/A,0.3595,0.3834,0.3776
11/14/2023,0.3577,N/A,0.3595,0.3605,0.3537
11/13/2023,0.36,N/A,0.3753,0.3602,0.3502
11/12/2023,0.3741,N/A,0.3791,0.3884,0.3741
11/11/2023,0.3784,N/A,0.3724,0.3853,0.3716
11/10/2023,0.3733,N/A,0.3738,0.3886,0.3699
11/09/2023,0.3739,N/A,0.3679,0.376,0.3664
11/08/2023,0.3679,N/A,0.3538,0.3679,0.3562
11/07/2023,0.3539,N/A,0.3555,0.3558,0.3488
11/06/2023,0.3546,N/A,0.3431,0.3654,0.3538
11/05/2023,0.3428,N/A,0.3337,0.3494,0.3414
11/04/2023,0.3293,N/A,0.3264,0.3293,0.3261
11/03/2023,0.3272,N/A,0.3165,0.33,0.3252
11/02/2023,0.3158,N/A,0.3098,0.3265,0.3145
11/01/2023,0.3098,N/A,0.2889,0.3123,0.3059
